iter	Passed	Remaining
0	1	190
1	3	170
2	4	152
3	5	134
4	6	129
5	8	125
6	9	122
7	10	119
8	11	117
9	12	113
10	13	110
11	14	107
12	15	104
13	16	102
14	17	98
15	18	96
16	19	93
17	19	90
18	20	88
19	21	86
20	22	84
21	23	82
22	23	80
23	24	78
24	25	76
25	26	75
26	27	73
27	27	71
28	28	70
29	29	68
30	30	66
31	30	65
32	31	63
33	31	62
34	32	60
35	33	59
36	33	57
37	34	56
38	35	55
39	35	53
40	36	52
41	36	50
42	37	49
43	37	48
44	38	47
45	39	46
46	43	48
47	44	48
48	45	47
49	46	46
50	46	44
51	47	43
52	48	42
53	48	41
54	49	40
55	49	38
56	50	37
57	50	36
58	51	35
59	52	35
60	53	34
61	54	33
62	55	32
63	55	31
64	56	30
65	56	29
66	57	28
67	58	27
68	58	26
69	59	25
70	60	24
71	60	23
72	61	22
73	62	21
74	62	20
75	63	19
76	63	19
77	64	18
78	65	17
79	65	16
80	66	15
81	67	14
82	67	13
83	68	13
84	68	12
85	69	11
86	70	10
87	70	9
88	71	8
89	71	7
90	72	7
91	73	6
92	73	5
93	74	4
94	75	3
95	75	3
96	76	2
97	76	1
98	77	0
99	78	0
